PORT_IATA,PORT_NAME,LAT_DEC,LONG_DEC,CITY_NAME,ACTIVE
PUZ,Puerto Cabezas,14.04638,-83.3864,Puerto Cabezas,Y
PVA,El Embrujo,13.35855,-81.3582,Providencia Island,Y
PVD,T F Green State,41.72494,-71.42559,Providence,Y
PVK,Aktion,38.92554,20.76527,Preveza/Lefkada,Y
PVR,G. Diaz Ordaz Intl,20.67999,-105.25416,Puerto Vallarta,Y
PWE,Pevek,69.78333,170.59694,Pevek,Y
PWM,Portland City,43.6461,-70.30916,Portland,Y
PWQ,Pavlodar,52.19499,77.07388,Pavlodar,Y
PXM,Puerto Escondido International,15.87693,-97.08916,Puerto Escondido,Y
PXU,Pleiku,14.00444,108.01721,Pleiku,Y
PZB,Pietermaritzburg,-29.64888,30.3986,Pietermaritzburg,Y
PZE,Penzance Heliport,50.12805,-5.5184,Penzance,Y
PZH,Zhob,31.35833,69.46361,Zhob,Y
PZO,Manuel Carlos Piar,8.2886,-62.76027,Puerto Ordaz,Y
PZU,New International,19.4336,37.23416,Port Sudan,Y
QBC,Bella Coola Air Harbour,52.38749,-126.59583,Bella Coola,Y
QRO,Queretaro Intercontinental,20.61721,-100.18555,Queretaro,Y
QSF,8 Mai 45,36.17804,5.32443,Setif,Y
RAE,Arar,30.90666,41.13833,Arar,Y
RAH,Rafha,29.62638,43.49055,Rafha,Y
RAI,Praia International,14.94127,-23.48468,Praia,Y
RAJ,Rajkot,22.30916,70.77943,Rajkot,Y
RAK,Menara,31.60694,-8.03638,Marrakech,Y
RAO,Ribeirao Preto,-21.13416,-47.77416,Ribeirao Preto,Y
RAR,Rarotonga Island,-21.20251,-159.79827,Rarotonga Island,Y
RAS,Sandra-e-Jangal,37.32332,49.61777,Rasht,Y
RBA,Sale,34.05138,-6.75138,Rabat,Y
RBQ,Rurrenabaque,-14.42666,-67.49888,Rurrenabaque,Y
RBR,Rio Branco,-9.86916,-67.89416,Rio Branco,Y
RBV,Ramata Island,-8.16768,157.6418,Ramata Island,Y
